PQJ1,PQJ2,PQJ3,PQJ4,PQJ5,xiashan,julongtan,OT
8.2,10.2,13,17.8,4.8,601,78,1773.333333
7.9,16.8,9.2,7.2,8.8,891,107,2086.666667
6.4,4.8,4.5,3.4,4,1152,221,2423.333333
1.7,1.5,0.2,0,0.2,1335,262,2656.666667
0,0,1.8,3,0.2,1379,348,2786.666667
0,0,0,0,0,1443,403,2853.333333
0,0,0,0,0,1279,403,2726.666667
0,0,0.2,0,0,1185,425,2540
0,0,0,0,0,1130,420,2366.666667
0,0,0,0,0,891,397,2320
2.8,0.2,8.2,5.9,11.6,914,271,2303.333333
20.3,9.6,30.3,42.9,37,768,283,2413.333333
9.7,1.1,10.7,6.7,18.4,880,362,2860
4.3,0.5,5.2,1.3,4.2,1168,371,3506.666667
6.5,3.4,21.5,20.1,17.4,1141,369,4063.333333
6.9,0,16.5,9.8,16,1174,394,4320
0,0,0,0,0,1312,264,5120
0,0,0,0,0,1252,197,4540
0,0,0,0,0,1213,173,4310
0,0,0,0,0,1384,88,3793.333333
0,0,0,0,0,1362,180,3423.333333
0,0,0,0,0,1495,143,3176.666667
0,0,0,0,0,1207,139,3116.666667
0,0,0,0,0,1135,0,2833.333333
0,0,0,0,0,729,2,2286.666667
0,0,0,0,0,836,24,1750
0,0,0,0,0,721,117,1523.333333
0,0,0,0,0,644,0,1566.666667
0,0,0,0,0,558,173,1610
0,0,0,0,0,520,185,1550
0,0,0,0,0,490,186,1456.666667
0,0,0,0,0,537,186,1376.666667
0,0,0,0,0,520,145,1306.666667
0,0,0,0,0,456,185,1283.333333
0,0,0,0,0,371,156,1230
0,0,0,0,0,406,0,1156.666667
0,0,0,0,0,558,158,1060
0,0,0,0.9,0,601,199,1280
1,1.9,0.2,1.1,0.4,558,144,1300
4,3.1,7.2,6.9,3.6,388,185,1323.333333
12.2,12.7,11,14.9,7.8,388,190,1350
24,32.2,16.7,18.2,8.4,576,190,1466.666667
10.9,9.6,5.3,7,3.6,221,204,1716.666667
6.3,6.2,2,2.8,1.2,827,339,2156.666667
0.3,0.2,0.3,0,0,1163,420,2566.666667
0,0.1,0,0,0,1960,423,2940
0,0,0,0,0,1997,563,3180
0,0,0,0,0,1953,767,3473.333333
0,0,0,0,0,1780,656,3780
0,0,0,0,0,1351,423,3700
0,0,0,0,0,1285,422,3450
0,0,0,0,0,1157,422,3150
0,0,0,0,0,827,422,2840
0,0,0,0,0,823,420,2570
0,0,0,0,0,823,414,2416.666667
0,0,0,0,0,832,413,2320
0,0,0,0,0,802,410,2276.666667
0,0,0,0,0,746,361,2250
0,0,0,0,0,665,353,2300
0,0,0,0,0,657,351,2183.333333
0,0,0,0,0,742,349,2036.666667
0,0,0,0,0,657,241,1870
0,0,0,0,0,908,303,1930
0,0,0,0,0,793,406,1950
0,0,0,0,0,725,405,1896.666667
0,0,0,0,0,802,407,1903.333333
0,0,0,0,0,1008,407,1900
0,0,0,0,0,776,405,1970
0,0,0,0,0,785,406,1870
0,0,0,0,0,725,354,1823.333333
0,0,0,0,0,546,299,1730
0,0,0,0,0,605,386,1650
0,0,0,0,0,580,385,1570
0,0,0,0,0,541,391,1500
0,0,0,0,0.4,300,191,540
0,0,0,0,3.6,320,33,560
0,0,0,0,7.8,350,0,586.6666667
0,0,0,0,8.4,371,0,593.3333333
0,0,0,0,3.6,347,58,586.6666667
0,0,0,0,1.2,486,51,586.6666667
0,0,0,0,0,324,131,583.3333333
4.1,2.1,3.5,3.4,0,330,242,606.6666667
14.2,4.6,25.2,16.6,0,365,324,676.6666667
14.5,2.8,21.7,12,0,593,103,916.6666667
9.6,2.5,12.3,10.9,0,699,202,1243.333333
6.2,1.9,5,2.2,0,806,178,1753.333333
