PQJ1,PQJ2,PQJ3,PQJ4,PQJ5,xiashan,julongtan,OT
13.1,20.5,18.2,10.3,6.6,752,179,1923.333333
8.4,15.8,4.5,10.6,4.2,902,179,2206.666667
3.4,4.5,0.2,0.7,0.4,1083,180,2480
2,6.7,2.3,5.1,1.4,1187,443,2796.666667
4.4,12.8,0.7,3.4,0.4,1267,521,3100
0,0,0,0,0,1581,586,3320
0,0,0,0,0,1531,746,3360
0,0,0,0,0,1239,853,3300
0,0,0,0,0,1247,648,3000
0,0,0,0,0,1016,409,2710
0,0,0,0,0,829,448,2513.333333
0,0,0,0,0,725,468,2336.666667
0,0,0,0,0,586,442,2260
0,0,0,0,0,655,376,2110
0,0,0,0,0,439,376,1890
0,0,0,0,0,461,376,1610
0,0,0,0,0,455,376,1400
0,0,0,0,0,398,376,1223.333333
0,0,0,0,0,390,375,1093.333333
0,0,0,0,0,349,373,980
0,0,0,0,0,388,373,883.3333333
0,0,0,0,0,359,369,806.6666667
0,0,0,0,0,366,318,736.6666667
0,0,0,0,0,433,316,673.3333333
0,0,0,0,0,696,321,610
0,0,0,0,0,439,376,1850
0,0,0,0,0,461,376,1713.333333
0,0,0,0,0,455,376,1613.333333
0,0,0,0,0,398,376,1580
0.1,1.3,0.2,0.4,1.8,390,375,1516.666667
3.1,5.2,4.5,5.3,5,349,373,1540
1.8,0.6,3.5,1.8,4.8,388,373,1646.666667
0.5,0.6,0.5,0.4,0.2,359,369,1790
11.7,9.7,18.3,20.2,21.6,366,318,1913.333333
27.7,20.5,32.7,26.9,26.4,433,316,1976.666667
7.9,12.3,0.8,2.8,0.6,744,328,2196.666667
2.6,1.1,2.3,1.7,2.2,950,314,2593.333333
0.8,0.1,0.3,0.1,0.2,1248,348,3050
0.1,0,0,0,0,1623,443,3390
0,0,0,0,0,1969,589,3590
0,0,0,0,0,1667,464,3810
0,0,0,0,0,1348,471,3310
0,0,0,0,0,1101,470,2823.333333
0,0,0,0,0,829,374,2363.333333
0,0,0,0,0,840,364,2116.666667
0,0,0,0,0,664,364,1880
0,0,0,0,0,626,364,1746.666667
0,0,0,0,0,555,363,1556.666667
0,0,0,0,0,510,362,1453.333333
0,0,0,0,0,486,361,1420
0,0,0,0,0,440,361,1396.666667
0,0,0,0,0,454,353,1460
0,0,0,0,0,429,352,1483.333333
0,0,0,0,0,341,292,1580
0,0,0,0,0,159,110,625
4.7,11.9,3.3,5.8,3.8,132,85,658.3333333
16.2,15.9,20.8,19.6,22,91,85,734
21,17.1,16.8,19.7,16.2,198,85,911.6666667
20.2,19.6,14.2,13.9,10,310,135,1127.333333
2.4,2.6,0.2,0.3,1.4,573,159,1550
0,0,0,0,0,825,351,2110
0,0,0,0,0,1218,787,2856.666667
0,0,0,0,0,1200,648,3590
0,0,0,0,0,941,614,3100
0,0,0,0,0,828,476,2790
0,0,0,0,0,706,356,2400
0,0,0,0,0,602,353,1866.666667
0,0,0,0,0,531,350,1556.666667
0,0,0,0,0,417,350,1340
0,0,0,0,0,416,349,1280
0,0,0,0,0,338,347,1236.666667
0,0,0,0,0,355,350,1190
0,0,0,0,0,308,357,1136.666667
0,0,0,0,0,247,345,1090
0,0,0,0,0,263,334,1050
0,0,0,0,0,341,186,1020
0,0,0,0,0,250,5,986.6666667
0,0,0,0,0,224,4,943.3333333
0,0,0,0,0,276,49,900
0,0,0,0,0,277,140,860
0,0,0,0,0,238,144,833.3333333
0,0,0,0,0,226,6,806.6666667
0,0,0,0,0,276,190,780
0,0,0,0,0,189,125,480
0.6,0.7,0.2,1.4,0.6,197,208,525.6666667
2,0.3,1.7,3.9,4.2,182,317,639
0.4,0,1,0,1.2,219,297,729
0.3,0.1,16.8,8.1,16,231,256,823.3333333
13.7,0.4,3.7,0.7,1.4,254,80,893.3333333
1.5,12.5,18.7,11,17,284,138,1080
3.9,32.3,7.2,14,6.4,381,319,1386.666667
0,0.5,1.3,8.4,0.8,665,358,1693.333333
0,0,0,0,0,942,348,2126.666667
0,0,0,0,0,1538,345,2590
0,0,0,0,0,1540,354,3170
0,0,0,0,0,1460,401,2950
0,0,0,0,0,1197,388,2750
0,0,0,0,0,1019,387,2526.666667
0,0,0,0,0,830,387,2236.666667
0,0,0,0,0,600,388,1883.333333
0,0,0,0,0,618,385,1593.333333
0,0,0,0,0,535,384,1426.666667
0,0,0,0,0,490,372,1420
0,0,0,0,0,429,358,1353.333333
0,0,0,0,0,389,358,1313.333333
0,0,0,0,0,365,353,1135.333333
0,0,0,0,0,358,55,1049.333333
0,0,0,0,0,329,110,947.6666667
0,0,0,0,0,305,175,911.6666667
0,0,0,0,0,229,283,858
0,0,0,0,0,75,17,200
0.1,0,0,0,0,75,4,203.3333333
0.9,1.5,0.8,0.8,1.2,75,26,210
1.2,0.9,2.2,1.1,1.8,75,43,220.3333333
0.3,0.2,0,0.2,0.4,75,17,237
0,0.2,0.3,0.3,0.4,75,4,240.3333333
0.5,0,0.8,0.3,0.6,75,48,266.6666667
5,9.2,4.7,5.3,5,75,68,353.3333333
19.8,14.1,13.8,18.6,15.4,75,17,504
11.5,18.6,3.3,4.7,2.4,75,5,688
5.6,8.3,3.3,2.8,2.8,75,37,874.6666667
10.8,10.7,9.2,9.2,7.8,75,50,1020.666667
2.7,4.3,0,0.6,0.4,78,14,1113.333333
3.6,11.5,1.8,3.9,1.4,105,32,1256.666667
23.6,27.3,14,23.3,16.8,116,199,1520
22.5,24.4,18.2,23.8,14.8,182,325,1833.333333
6.5,16.9,1.5,5.6,2.2,190,360,2050
0.8,3.7,0,0.7,0,644,750,2456.666667
0,0,0,0,0,1219,1000,3130
0,0,0,0,0,1432,1002,3990
0,0,0,0,0,1015,875,3560
0,0,0,0,0,714,678,2850
0,0,0,0,0,497,512,2560
0,0,0,0,0,374,361,2253.333333
0,0,0,0,0,305,411,1980
0,0,0,0,0,269,341,1773.333333
0,0,0,0,0,167,339,1560
0,0,0,0,0,163,326,1303.333333
0,0,0,0,0,154,48,1110
0,0,0,0,0,128,167,978.6666667
0,0,0,0,0,113,329,913.6666667
0,0,0,0,0,130,324,893.6666667
0,0,0,0,0,114,154,872.3333333
0,0,0,0,0,84,95,834.3333333
0,0,0,0,0,115,105,723.3333333
0,0,0,0,0,96,106,629.3333333
0,0,0,0,0,82,110,563
0,0,0,0,0,82,120,515.6666667
0,0,0,0,0,82,127,480.3333333
0,0,0,0,0,82,122,433.6666667
0,0,0,0,0,82,122,428.6666667
0,0,0,0,0,82,122,394
0,0,0,0,0,82,102,387.3333333
0,0,0,0,0,82,116,370.6666667
0,0,0,0,0,82,43,354.3333333
0,0,0,0,0,82,2,291
0,0,0,0,0,316,169,400
0,0.4,0.5,2.4,0.4,316,150,400
0,0.4,1.5,2.1,2,316,60,400
0.1,0.5,0.5,1.4,0.8,316,10,400
0,16.5,17.7,18.9,10,316,30,400
2,4.4,5.3,2.9,1.8,316,52,400
20.2,3,0.3,1.4,0.4,316,104,400
12.5,7,0.2,0.2,0.6,316,11,405
0.1,9.2,0,0.4,0,316,10,405
0,0.3,0.2,0.1,0,316,10,407
0,0.2,0,0,0,316,10,398.6666667
0,0,0,0,0,316,9,407.3333333
0,1.1,0.8,0.8,0,316,225,442.6666667
0.1,11.5,4,14,5.4,316,228,508.6666667
5.4,4.4,2,4.8,1,316,228,733.3333333
19.9,0.5,18,10.2,8,316,228,877
20.5,11.4,21.5,22.4,13.4,316,229,1154.333333
10.6,14.4,14.3,13.8,7.6,319,230,1427.666667
6.2,2.5,0,0,0.2,502,231,1823.333333
1.2,0,0,0,0,743,226,2103.333333
3.8,0.1,0,0,0,849,216,2223.333333
0.8,0,0,0,0,979,387,2286.666667
0.1,0.4,0,0.1,0,1101,426,2286.666667
1.7,4.6,3.7,5.1,4,1033,424,2386.666667
5.4,19.7,20.5,28,15.2,834,430,2443.333333
10.3,20.2,12.3,15.9,6.6,628,441,2586.666667
2.9,8.2,2.8,4.2,2.2,888,442,2766.666667
2,6.1,0.7,1,0.2,989,472,3120
0,0,0,0,0,1033,806,3510
0,0,0,0,0,1257,654,3820
0,0,0,0,0,1030,580,3810
0,0,0,0,0,1075,448,3113.333333
0,0,0,0,0,876,637,2743.333333
0,0,0,0,0,773,481,2650
0,0,0,0,0,505,390,2486.666667
0,0,0,0,0,462,370,2210
0,0,0,0,0,432,353,1966.666667
0,0,0,0,0,348,353,1746.666667
0,0,0,0,0,339,352,1616.666667
0,0,0,0,0,327,351,1510
0,0,0,0,0,308,347,1416.666667
0,0,0,0,0,308,333,1310
0,0,0,0,0,308,235,1143
0,0,0,0,0,308,138,1059.666667
0,0,0,0,0,308,138,1093
0,0,0,0,0,308,142,1260
0,0,0,0,0,311,53,1100
0,0,0,0,0,469,29,1126.666667
0,0.1,0,0,0,523,284,1153.333333
0.1,0,0,0,0,436,294,1183.333333
0,0,0,0.1,0,325,84,1233.333333
2,0.2,9.5,6.7,8.8,308,56,1313.333333
20.2,11,18.2,24.7,11.2,326,62,1443.333333
12.5,15.5,8.2,6.6,4.6,387,189,1553.333333
0.1,0,0,0,0,465,287,1780
0,0,0,0.1,0,712,280,2076.666667
0,0,0,0,0,766,228,2360
0,0,0,0,0,706,244,2373.333333
0,0,0,0,0,680,333,2213.333333
0.1,0.4,0.8,2.8,2.6,1031,240,2020
5.4,9.8,9.5,17.1,9.8,1028,345,2063.333333
19.9,18.3,24.5,28.1,21.2,907,334,2183.333333
20.5,24.2,14.2,12.1,10.6,852,379,2393.333333
10.6,22.1,11.7,13.2,11.6,1318,437,2923.333333
6.2,11.5,4,7.7,3.2,1666,497,3736.666667
1.2,2.6,0.3,0,0,2115,1172,4916.666667
3.8,10.1,5.7,8.9,6.2,2309,1393,6070
0.8,1.2,0.2,0.6,0,2256,1374,5980
0.1,0.5,0,0.1,0.2,2142,1690,5560
1.7,4.5,2,1.3,1.6,1998,1590,5003.333333
5.4,5.7,6.2,4.1,4.8,1774,1379,4440
10.3,8.2,10,10.3,8,1644,1063,3986.666667
2.9,5.3,2.3,3.9,2.8,1506,990,3513.333333
2,5.2,0.5,2.2,0.8,1592,1045,3593.333333
1.1,0.9,1,0.2,0.8,1579,916,3893.333333
5.7,13,4.3,7.6,5.6,1524,996,4286.666667
8.6,15,6.8,8.4,6.4,1618,974,4466.666667
11.9,13.7,13.3,9.3,9.6,1629,1153,4470
4.3,6.9,2,1.7,1,1792,1103,4516.666667
1.6,4.6,0.3,0.1,0,1890,1582,4740
0.7,0.7,0,0.7,0.2,2183,1707,5220
0.3,1.6,0,0.4,0,2251,1816,5760
0,0,0,0,0,2140,1540,6100
0,0,0,0,0,1882,1351,5433.333333
0,0,0,0,0,1630,1176,4633.333333
0,0,0,0,0,1477,1046,3866.666667
0,0,0,0,0,1427,894,3340
0,0,0,0,0,1139,768,2943.333333
0,0,0,0,0,1137,628,2644.666667
0,0,0,0,0,1003,691,2344.666667
0,0,0,0,0,972,614,2174.666667
0,0,0,0,0,803,596,2010
0,0,0,0,0,979,573,1773.333333
0,0,0,0,0,822,521,1603.333333
0,0,0,0,0,732,493,1490
0,0,0,0,0,702,487,1433.333333
0,0,0,0,0,745,480,1380
0,0,0,0,0,738,479,1326.666667
0,0,0,0,0,695,479,1336.666667
0,0,0,0,0,702,479,1343.333333
0,0,0,0,0,711,475,1330
0,0,0,0,0,721,468,1270
0,0,0,0,0,740,472,1120
0,0,0,0,0,817,466,1140
0,0,0,0,0,846,433,1163.333333
0,0,0,0,0,772,416,1200
0,1.2,0,1.9,0.4,716,405,1253.333333
19.5,43.2,17.2,15.9,3.2,729,312,1323.333333
1.9,1.6,5.2,2.3,0.5,710,442,1406.666667
10.5,2.2,9.8,1.8,0.4,769,437,1513.333333
5,1.5,4.8,0.1,0,851,436,1660
0,0,0,0,0,882,460,1876.666667
0,0,0,0,0,1006,1399,2090
0,0,0,0,0,1145,993,2676.666667
0,0,0,0,0,1197,476,3600
0,0,0,0,0,1257,579,2540
0,0,0,0,0,1210,637,2380
0,0,0,0,0,1072,475,2286.666667
0,0,0,0,0,996,516,2110
0,0,0,0,0,884,522,2066.666667
0,0,0,0,0,730,486,1963.333333
0,0,0,0,0,878,456,1923.333333
0,0,0,0,0,744,481,1703.333333
0,0,0,0,0,720,515,1550
0,0,0,0,0,724,547,1473.333333
0,0,0,0,0,768,522,1426.666667
0,0,0,0,0,787,495,1370
0,0,0,0,0,1052,473,1323.333333
0,0,0,0,0,1119,565,1290
0,0,0,0,0,1151,719,1263.333333
0,0,0,0,0,930,718,1240
0,0,0,0,0,706,462,1180
0,0,0,0,0,706,461,1260
0.5,4.9,0.3,4,2.4,706,458,1386.666667
7.7,21.1,10.8,13.3,12.4,706,454,1520
7.5,21.9,9.8,10.8,8.8,706,457,1590
12.4,16.3,10.8,5.7,9.2,706,465,1620
8.3,6.6,5.2,4.1,4.2,706,743,1760
6.7,6.5,7.7,3.3,7.4,857,863,2103.333333
2.7,4,2.2,14.1,3,1009,1806,2850
4.9,5.5,3.7,6.9,6,1155,1897,3696.666667
0.3,0.6,0.2,0,0,1333,1868,4620
0,0,0,0,0,1417,1565,4840
0,0,0,0,0,1431,1195,4700
0,0,0,0,0,1370,1176,4050
0,0,0,0,0,1273,1080,3656.666667
0,0,0,0,0,1133,912,3410
0,0,0,0,0,1128,888,3103.333333
0,0,0,0,0,1009,796,2820
0,0,0,0,0,887,758,2610
0,0,0,0,0,993,916,2523.333333
0,0,0,0,0,891,818,2460
0,0,0,0,0,937,825,2443.333333
0,0,0,0,0,947,685,2290
0,0,0,0,0,829,567,2060
0,0,0,0,0,767,491,1800
0,0,0,0,0,748,556,1656.666667
0,0,0,0,0,747,566,1526.666667
0,0,0,0,0,747,552,1416.666667
0,0,0,0,0,697,545,1330
0,0,0,0,0,691,486,1246.666667
0,0,0,0,0,691,483,1223.333333
0,0,0,0,0,691,483,1250
0,0,0,0,0,821,386,1290
0,0,0,0,0,754,438,1340
0,0,0,0,0,864,441,1390
0.5,0.1,2,0.6,1.2,806,447,1440
0.8,0.2,1.7,2,1.6,691,447,1490
0.4,2.4,0.7,3.6,0.2,693,444,1540
1.3,0.2,0.2,0.4,0.8,746,443,1590
0,0,0,0,0,719,443,1640
0,0.2,0,0,0,691,416,1690
0.7,0.6,2.2,1.4,0.2,698,380,1740
0.1,0.5,0,0.3,0,691,397,1736.666667
8.2,0,0,1.3,0.4,691,384,1623.333333
5.1,1,0,0.4,0.6,691,370,1490
0.7,3.3,0,0.2,0.2,691,292,1380
0,0,0,0,0,717,338,1340
5.2,0.3,2.8,2.8,2.2,822,221,1350
5.6,1.2,3,4.8,1.2,863,426,1510
16.2,4.9,24,25.2,26.6,848,472,1740
3.6,1.8,2.5,0.4,1.2,892,364,1960
6.3,6.3,0.3,0.1,0.4,1114,333,2283.333333
2,0.4,1.7,0.2,1,1217,329,2610
0.3,0.5,0.3,0,0,1436,337,2936.666667
0.1,0.3,0.3,0,0,1669,438,3060
0,0,0,0,0,1775,404,2820
0.1,0.1,0,0,0,1634,276,2656.666667
0,0,0,0,0,1433,410,2556.666667
0,0,0,0,0,1226,415,2446.666667
0,0.1,0,0,0,1133,378,2323.333333
0,0,0,0,0,825,355,2133.333333
1.5,0.6,0.5,0.4,2.4,696,358,1873.333333
0.4,0.1,3,0.1,0,824,239,1650
2.5,0,0.2,0.2,0.2,739,396,1530
3.4,2.5,0,0.2,0,739,233,1466.666667
6.7,12,0.8,22.1,3.6,739,255,1410
12.2,16.6,2.3,14.7,2.4,818,410,1460
3.1,0.5,1.7,0.1,0.2,876,408,1603.333333
2.1,0.4,0,0,0,1037,452,1916.666667
0.7,4.1,0,0.1,0.2,1187,468,2260
6.5,5.4,6.8,14.7,8.6,1254,483,2630
18.4,6.9,12.3,8.1,8,1136,493,2850
2.5,3.8,0.5,1.8,0,1147,587,2883.333333
3.5,8.3,1.5,7.9,2.6,1384,504,2930
0.3,0,0,0,0,1571,491,3086.666667
0.2,1,0,0,0,1663,638,3430
0,0,0.7,0,0.4,1724,701,3470
0,0.1,0,0,0,1800,643,3410
0,0,0,0,0,1499,548,3290
0,0,0,0,0,1406,583,3050
0,0,0,0,0,1057,482,2786.666667
0,0,0,0,0,1052,496,2556.666667
0,0,0,0,0,964,469,2323.333333
0,0,0,0,0,899,469,2190
0,0,0,0,0,785,469,2063.333333
0,0,0,0,0,760,465,1910
0,0,0,0,0,771,463,1760
0,0,0,0,0,758,457,1643.333333
0,0,0,0,0,743,452,1583.333333
0,0,0,0,0,773,447,1540
0,0,0,0,0,728,440,1520
0,0,0,0,0,764,436,1526.666667
4.8,0,0,0,0,709,428,1560
3.1,0,31,2.9,20.2,684,413,1666.666667
0.3,5.3,15.2,21,26.2,720,398,1680
2.7,42.4,5,20.4,3.8,920,394,1856.666667
0.7,6.5,20.2,13.6,17.4,1107,381,2293.333333
0.9,9.4,1.5,3.4,0.6,1668,396,2953.333333
0.5,0.8,0,0.4,0.6,2219,528,3746.666667
3.3,1.7,4.2,3.6,4.4,2553,996,4553.333333
11.5,0.2,0.3,0,0,2362,800,5500
5.2,4,0,0,0,1849,626,4780
4.5,3.3,0.3,0.6,0,1589,631,4720
13,0,0,0,0,1584,544,4453.333333
0,0,0,0,0,1677,680,4176.666667
0,0,0,0,0,1632,643,3736.666667
0,0,0,0,0,1473,542,3356.666667
0,0,0,0,0,1489,578,2966.666667
0,0,0,0,0,1151,547,2736.666667
0,0,0,0,0,1195,580,2530
0,0,0,0,0,1048,480,2420
0,0,0,0,0,862,473,2380
0,0,0,0,0,1005,368,2343.333333
0,0,0,0,0,906,484,2260
0,0,0,0,0,814,482,2160
0,0,0,0,0,863,466,2096.666667
0,0,0,0,0,759,445,2063.333333
0,0,0,0,0,738,442,2036.666667
0,0,0,0,0,775,439,1996.666667
0,0,0,0,0,765,435,2040
0,0,0,0,0,723,270,2010
0,0,0,0,0,688,238,1920
0,0,0,0,0,1026,322,2620
0,0,0,0,0,1029,280,2483.333333
0,0,0,0,0,1240,321,2436.666667
2.3,1.2,0.8,1.2,0,1508,397,2486.666667
12.5,0,0.7,0,1,1227,400,2506.666667
3.3,0.1,3,1.2,1.6,1205,403,2473.333333
3.3,0,2.2,1.1,0.6,957,405,2333.333333
0,0,1.8,8.9,10.6,958,403,2230
1.3,0.4,1.5,2.9,4,852,394,2066.666667
0.8,0.5,2.7,2.1,3.2,1097,298,2213.333333
0.5,0.5,0,1.1,2,1388,401,2606.666667
3.3,1,13.8,11,19,1422,379,3146.666667
1.4,6.3,3.3,1.8,4.2,1377,390,3546.666667
27.3,5.8,19.2,21.6,20.6,1333,316,3816.666667
16.8,14.7,11,14,6.8,1594,424,4190
8.3,7.9,2,3.7,1,1824,427,4586.666667
0.2,1.1,0.3,0.3,0,2007,436,5013.333333
0,0,0,0,0,2212,507,5286.666667
0.3,1.4,0,0.1,0,2321,641,5410
0.5,0.5,0,0,0,2288,602,5316.666667
0.4,0.5,0,0,0,1960,489,4890
1,0.8,0.2,0.2,0.4,1699,470,4173.333333
1.4,1.3,2.7,1.7,1,1523,359,3480
0.1,0,0,0,0,1349,369,3040
0.1,0.4,0,0.8,0,1123,331,2780
5.5,6.1,0.8,0.3,0,1159,409,2640
0.1,0,0,0,0,1069,347,2503.333333
0.2,0,0.7,1,0.8,1038,325,2476.666667
0.1,0,0.5,1.2,1.4,956,350,2236.666667
5.2,5.1,1.5,2.9,0.6,925,376,2060
6.7,1.8,4.8,8.6,7,952,298,1946.666667
41.8,18.3,7.5,36.7,12,1247,486,2696.666667
12.4,1.2,14,5,11.2,2831,1079,4353.333333
3,2.4,4.8,11.3,12.2,4419,582,6880
10.9,1.8,29.8,0.9,17.2,4323,550,8400
0,0,0,0,0,4309,512,7870
0,0,0,0,0,4539,549,7580
0,0,0,0,0,3886,487,7420
0,0,0,0,0,2818,485,6400
0,0,0,0,0,2391,451,5270
0,0,0,0,0,1996,361,4373.333333
0,0,0,0,0,1736,377,3660
0,0,0,0,0,1501,381,3150
0,0,0,0,0,1539,359,2713.333333
0,0,0,0,0,1330,242,2586.666667
0,0,0,0,0,1195,345,2486.666667
0,0,0,0,0,1190,266,2286.666667
0,0,0,0,0,1187,218,2053.333333
0,0,0,0,0,1131,349,2020
0,0,0,0,0,1156,326,1996.666667
0,0,0,0,0,1070,214,1986.666667
0,0,0,0,0,1085,217,1893.333333
0,0,0,0,0,931,224,1806.666667
0,0,0,0,0,985,208,1816.666667
0,0,0,0,0,973,213,1803.333333
0,0,0,0,0,982,217,1796.666667
0,0,0,0,0,907,197,1730
0,0,0,0,0,927,190,1480
0,0,0,0,0,927,156,1403.333333
0,0,0,0.3,0,927,158,1293.333333
0,0,0,0.3,0,927,151,1163.333333
16,14,4,13.1,8.2,927,182,1076.666667
12,14.5,13.8,14.9,14,927,267,1176.666667
6.3,5.6,3.7,2.8,3,927,431,1340
8.7,20.1,9.5,14.6,11.4,1098,442,1693.333333
15.8,34.4,13,23.4,12.8,1090,446,2346.666667
13.3,7,14,14.7,17.4,1429,606,3093.333333
11.6,27.7,7,28.6,13.4,1797,1273,4153.333333
1.7,4.7,0.8,1.9,0.4,2180,1612,5353.333333
0.2,1.6,0.2,1.2,0,2435,2078,7010
2.9,7.7,3,6.6,4,2603,2067,8360
0.4,0.4,0,2,0,2418,1888,8110
0,0.3,0,1.8,0,2137,1548,6880
0,7.2,0,1.8,0,1713,1301,5586.666667
4,11.5,1.7,6.1,2.4,1492,1034,4486.666667
0,0,0,0,0,1179,744,3640
0,0,0,0,0,1205,734,3190
0,0,0,0,0,1052,894,2933.333333
0,0,0,0,0,1028,823,2770
0,0,0,0,0,955,881,2616.666667
0,0,0,0,0,1014,792,2433.333333
0,0,0,0,0,927,754,2256.666667
0,0,0,0,0,927,738,2086.666667
0,0,0,0,0,927,605,1953.333333
0,0,0,0,0,938,555,1786.666667
0,0,0,0,0,941,531,1646.666667
0,0,0,0,0,941,529,1506.666667
0,0,0,0,0,941,468,1433.333333
0,0,0,0,0,941,464,1276.666667
0,0,0,0,0,941,373,1093.333333
0,0,0,0,0,941,314,975.3333333
0,0,0,0,0,941,419,950.3333333
0,0,0,0,0,941,440,971.6666667
0,0,0,0,0,941,427,959
0,0,0,0,0,941,398,987.3333333
0,0,0,0,0,941,327,970.3333333
0,0,0,0,0,941,296,924.3333333
0,0,0,0,0,941,315,924.3333333
0,0,0,0,0,941,335,983.3333333
0,0,0,0,0,941,211,1020.666667
0,0,0,0,0,941,200,919
0,0,0,0,0,941,207,822.3333333
0,0,0,0,0,941,255,790
0,0,0,0,0,937,366,1180
0,0,0,0,0,937,189,1660
0,0,0,0,0,937,63,2040
14.7,13.1,29,19.1,17,937,177,2073.333333
2.6,0.2,7.8,0.6,4.4,937,367,2130
1.4,1.9,0,0.2,0,1176,319,2086.666667
3,1,0,3.4,0,1479,192,2363.333333
4.1,0.7,0.5,1.2,0.8,1486,213,2536.666667
0,0,0,0,0,1559,207,2666.666667
0,0.9,0.3,0,0,1445,160,2500
1,8.2,3.7,9.3,6.2,1104,127,2273.333333
6.3,2.4,5.7,13.1,7.8,1032,206,2000
1.1,0.2,0.7,0.4,1,978,275,1830
1.3,0,2.2,0,0.8,949,159,1823.333333
0.2,0.7,0,0.1,0,909,177,1770
5.4,0.6,11.2,2.2,6,909,361,1686.666667
0.9,0.5,5.8,0.1,2.2,909,354,1560
1.9,0.3,7,5.7,13.4,909,300,1613.666667
2.52173913,1.727272727,1.833333333,0.666666667,0.2,909,313,1710.333333
14.91304348,11.90909091,11.16666667,9.333333333,7.4,909,278,1860.333333
4.434782609,4,1.333333333,5.888888889,0.2,909,396,1966.666667
0.173913043,0,0,0.333333333,0,909,416,2050
4.043478261,3.545454545,0.166666667,0,0,995,315,2166.666667
20.52173913,18.72727273,8.333333333,12.77777778,2.6,982,250,2173.333333
2.347826087,1.181818182,0.166666667,3.888888889,0.2,1519,394,2286.666667
0.043478261,0.090909091,0.166666667,0.333333333,0,1854,415,2633.333333
4.913043478,5.363636364,0,1,1.2,1717,444,3116.666667
4.086956522,10.81818182,3.666666667,5.444444444,18,1576,485,3550
3.565217391,8.454545455,8.333333333,8.333333333,4,1441,703,3400
2.608695652,8.090909091,0,0.333333333,0,1445,743,3306.666667
2,0,0.166666667,0,0,1307,686,3190
26.43478261,6.272727273,11.83333333,2.111111111,10.6,1375,862,3080
3.869565217,0.363636364,4.166666667,2,0.6,1603,1154,3243.333333
0.782608696,1.363636364,8.666666667,0.444444444,0,1816,1111,3680
9.347826087,1.636363636,19,4.222222222,6,1913,795,3800
3.304347826,7.090909091,1.666666667,1.222222222,0,1843,648,3710
0,0,0,0,0,1751,600,3426.666667
0,0,0,0,0,1721,529,3240
0,0,0,0,0,1597,567,3143.333333
0,0,0,0,0,1587,534,3083.333333
0,0,0,0,0,1438,555,2970
0,0,0,0,0,1386,543,2836.666667
0,0,0,0,0,1185,523,2583.333333
0,0,0,0,0,1182,497,2346.666667
0,0,0,0,0,1152,486,2066.666667
0,0,0,0,0,1111,408,1913.333333
0,0,0,0,0,919,277,1720
0,0,0,0,0,923,379,1663.333333
0,0,0,0,0,909,399,1616.666667
0,0,0,0,0,909,310,1653.333333
0,0,0,0,0,909,265,1530
0,0,0,0,0,909,285,1400
0,0,0,0,0,909,294,1260
